<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.04.18	16:00:00	0.69370	0.69376	0.69142	0.69194	6464	4829698000	21
2016.04.18	17:00:00	0.69194	0.69481	0.69089	0.69433	7752	7738146000	21
2016.04.18	18:00:00	0.69433	0.69495	0.69353	0.69434	5796	6630002000	21
2016.04.18	19:00:00	0.69438	0.69564	0.69438	0.69543	3947	4186648000	21
2016.04.18	20:00:00	0.69543	0.69563	0.69390	0.69442	4599	5617145000	21
2016.04.18	21:00:00	0.69439	0.69462	0.69389	0.69429	3278	3728100000	21
2016.04.18	22:00:00	0.69432	0.69473	0.69403	0.69464	2266	2728350000	21
2016.04.18	23:00:00	0.69462	0.69534	0.69426	0.69472	1766	1588082000	21
2016.04.19	00:00:00	0.69468	0.69579	0.69460	0.69579	1301	1556000000	0
2016.04.19	01:00:00	0.69580	0.69622	0.69524	0.69548	1593	1116232000	21
2016.04.19	02:00:00	0.69544	0.69910	0.69544	0.69793	4029	3265184000	21
2016.04.19	03:00:00	0.69795	0.69878	0.69719	0.69773	4019	2852210000	21
2016.04.19	04:00:00	0.69773	0.69938	0.69773	0.69841	3817	3354793000	21
2016.04.19	05:00:00	0.69840	0.69849	0.69763	0.69843	3097	3264540000	21
2016.04.19	06:00:00	0.69843	0.70039	0.69827	0.69956	2842	3318651000	21
2016.04.19	07:00:00	0.69956	0.69996	0.69897	0.69984	3520	3094339000	21
2016.04.19	08:00:00	0.69985	0.70055	0.69934	0.70030	3221	3258342000	21
2016.04.19	09:00:00	0.70031	0.70268	0.69985	0.70204	5592	6434145000	21
2016.04.19	10:00:00	0.70204	0.70263	0.70137	0.70194	5626	7121450000	21
2016.04.19	11:00:00	0.70193	0.70199	0.70032	0.70062	4362	4827685000	21
2016.04.19	12:00:00	0.70062	0.70156	0.69932	0.70156	4398	4790030000	21
2016.04.19	13:00:00	0.70159	0.70346	0.70144	0.70314	4585	5503838000	21
2016.04.19	14:00:00	0.70314	0.70354	0.70210	0.70292	4717	6177030000	21
2016.04.19	15:00:00	0.70292	0.70434	0.70285	0.70300	6723	7093560000	21
2016.04.19	16:00:00	0.70295	0.70462	0.70239	0.70423	8391	12144478000	21
2016.04.19	17:00:00	0.70422	0.70530	0.70210	0.70325	7465	8218325000	21
2016.04.19	18:00:00	0.70325	0.70432	0.70278	0.70319	5688	6046533000	21
2016.04.19	19:00:00	0.70319	0.70346	0.70196	0.70284	4043	4524899000	21
2016.04.19	20:00:00	0.70283	0.70414	0.70282	0.70412	3538	3986079000	21
2016.04.19	21:00:00	0.70412	0.70464	0.70362	0.70448	2341	2708624000	21
2016.04.19	22:00:00	0.70453	0.70516	0.70425	0.70504	2385	3003137000	21
2016.04.19	23:00:00	0.70504	0.70528	0.70399	0.70417	1917	2258360000	21
2016.04.20	00:00:00	0.70410	0.70477	0.70342	0.70453	752	387030000	0
2016.04.20	01:00:00	0.70453	0.70485	0.70406	0.70423	1500	1050200000	21
2016.04.20	02:00:00	0.70424	0.70440	0.70287	0.70305	1792	1828150000	21
2016.04.20	03:00:00	0.70304	0.70368	0.70069	0.70110	3263	2617578000	21
2016.04.20	04:00:00	0.70110	0.70252	0.70091	0.70161	3284	3378973000	21
2016.04.20	05:00:00	0.70163	0.70205	0.70084	0.70196	2570	2719500000	21
2016.04.20	06:00:00	0.70195	0.70238	0.70086	0.70099	3192	3633400000	21
2016.04.20	07:00:00	0.70091	0.70141	0.70016	0.70068	2142	1936300000	21
2016.04.20	08:00:00	0.70067	0.70068	0.69913	0.69954	3751	4261105000	21
2016.04.20	09:00:00	0.69955	0.70105	0.69927	0.70061	4869	4816729000	21
2016.04.20	10:00:00	0.70061	0.70102	0.69936	0.70067	6092	6912425000	21
2016.04.20	11:00:00	0.70068	0.70190	0.70025	0.70074	6722	8009988000	21
2016.04.20	12:00:00	0.70074	0.70178	0.70017	0.70133	5413	6699585000	21
2016.04.20	13:00:00	0.70133	0.70162	0.69989	0.70035	4980	6783333000	21
2016.04.20	14:00:00	0.70035	0.70242	0.70021	0.70114	4137	3737584000	21
2016.04.20	15:00:00	0.70115	0.70149	0.69885	0.69888	5723	5606450000	21
2016.04.20	16:00:00	0.69890	0.69954	0.69788	0.69801	7257	5744809000	21
2016.04.20	17:00:00	0.69802	0.69997	0.69789	0.69966	9180	9570482000	21
2016.04.20	18:00:00	0.69970	0.70099	0.69945	0.69950	8516	9035654000	21
2016.04.20	19:00:00	0.69950	0.69966	0.69846	0.69846	3056	2904998000	21
2016.04.20	20:00:00	0.69846	0.69904	0.69742	0.69831	3049	2272049000	21
2016.04.20	21:00:00	0.69831	0.69876	0.69759	0.69785	3975	3533599000	21
2016.04.20	22:00:00	0.69785	0.69796	0.69711	0.69723	3846	4157738000	21
2016.04.20	23:00:00	0.69722	0.69764	0.69712	0.69744	1576	1603400000	21
2016.04.21	00:00:00	0.69740	0.69802	0.69715	0.69742	699	294050000	0
2016.04.21	01:00:00	0.69746	0.69802	0.69725	0.69725	1797	1526700000	21
2016.04.21	02:00:00	0.69725	0.69794	0.69691	0.69738	2177	1899300000	21
2016.04.21	03:00:00	0.69737	0.69743	0.69576	0.69627	3985	3353750000	21
2016.04.21	04:00:00	0.69627	0.69714	0.69547	0.69645	3785	2884250000	21
2016.04.21	05:00:00	0.69641	0.69672	0.69547	0.69609	3212	2662750000	21
2016.04.21	06:00:00	0.69609	0.69755	0.69609	0.69736	3201	3106516000	21
2016.04.21	07:00:00	0.69736	0.69740	0.69670	0.69721	2138	2309471000	21
2016.04.21	08:00:00	0.69721	0.69790	0.69623	0.69790	3245	3687834000	21
2016.04.21	09:00:00	0.69789	0.69800	0.69621	0.69621	5626	5507720000	21
2016.04.21	10:00:00	0.69626	0.69786	0.69626	0.69639	6785	6823300000	21
2016.04.21	11:00:00	0.69640	0.69725	0.69565	0.69608	5975	6092800000	21
2016.04.21	12:00:00	0.69609	0.69622	0.69503	0.69586	4592	3924320000	21
2016.04.21	13:00:00	0.69588	0.69650	0.69561	0.69629	4183	3966280000	21
2016.04.21	14:00:00	0.69629	0.69660	0.69510	0.69595	5028	4784350000	21
2016.04.21	15:00:00	0.69595	0.69824	0.69592	0.69721	9070	9907266000	0
2016.04.21	16:00:00	0.69721	0.69752	0.69231	0.69273	10384	9463066000	21
2016.04.21	17:00:00	0.69273	0.69444	0.69227	0.69320	9754	8821470000	21
2016.04.21	18:00:00	0.69322	0.69362	0.69169	0.69222	6664	6226176000	21
2016.04.21	19:00:00	0.69221	0.69278	0.69139	0.69175	4267	4443990000	21
2016.04.21	20:00:00	0.69175	0.69178	0.69056	0.69101	3579	3539697000	21
2016.04.21	21:00:00	0.69099	0.69099	0.68989	0.69090	3120	3282600000	21
2016.04.21	22:00:00	0.69095	0.69136	0.69052	0.69130	1945	1562400000	21
2016.04.21	23:00:00	0.69130	0.69140	0.69082	0.69103	1704	1684040000	21
2016.04.22	00:00:00	0.69092	0.69130	0.69043	0.69117	767	628248000	0
2016.04.22	01:00:00	0.69117	0.69135	0.69085	0.69130	1760	742300000	22
2016.04.22	02:00:00	0.69130	0.69164	0.69034	0.69052	1499	901800000	21
2016.04.22	03:00:00	0.69049	0.69242	0.69027	0.69203	2928	3399645000	21
2016.04.22	04:00:00	0.69203	0.69353	0.69194	0.69303	2801	2432000000	21
2016.04.22	05:00:00	0.69303	0.69338	0.69179	0.69217	3082	2996089000	21
2016.04.22	06:00:00	0.69216	0.69216	0.69117	0.69131	2489	2528400000	21
2016.04.22	07:00:00	0.69131	0.69181	0.69055	0.69097	2999	2216665000	21
2016.04.22	08:00:00	0.69097	0.69263	0.69097	0.69223	3068	2208467000	21
2016.04.22	09:00:00	0.69225	0.69284	0.69012	0.69023	4720	4752475000	21
2016.04.22	10:00:00	0.69023	0.69025	0.68764	0.68765	6232	5354338000	21
2016.04.22	11:00:00	0.68762	0.68902	0.68762	0.68811	6012	5537277000	21
2016.04.22	12:00:00	0.68811	0.68880	0.68785	0.68814	4376	4698443000	21
2016.04.22	13:00:00	0.68814	0.68918	0.68793	0.68903	4353	4475200000	21
2016.04.22	14:00:00	0.68902	0.69014	0.68844	0.68880	3866	3621461000	21
2016.04.22	15:00:00	0.68880	0.68898	0.68632	0.68636	5741	4628982000	21
2016.04.22	16:00:00	0.68637	0.68875	0.68600	0.68840	8326	9030060000	21
2016.04.22	17:00:00	0.68836	0.68945	0.68596	0.68624	8234	8970120000	21
2016.04.22	18:00:00	0.68621	0.68680	0.68472	0.68513	6044	5731075000	21
2016.04.22	19:00:00	0.68513	0.68517	0.68395	0.68463	4040	3216798000	21
2016.04.22	20:00:00	0.68463	0.68548	0.68340	0.68538	3581	2734314000	21
2016.04.22	21:00:00	0.68538	0.68578	0.68473	0.68473	2266	2417114000	21
2016.04.22	22:00:00	0.68473	0.68602	0.68473	0.68563	1268	1214300000	21
